City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
krasnik,50.9236,22.2271,60.75,79,22,6.24,PL,1689134063
chelmno,53.3485,18.4251,62.28,78,77,4.0,PL,1689134063
colwyn bay,53.2948,-3.7267,57.33,83,97,9.6,GB,1689134063
lucheng,31.2336,117.2806,92.59,61,100,17.67,CN,1689134064
calipatria,33.1256,-115.5142,100.85,31,0,12.19,US,1689134064
cabo san lucas,22.8909,-109.9124,84.22,75,20,9.22,MX,1689133829
sanquelim,15.5833,74.0,81.01,87,100,1.79,IN,1689134064
stanley,54.868,-1.6985,52.81,90,0,4.61,GB,1689134064
kapuskasing,49.4169,-82.4331,53.6,76,75,5.75,CA,1689134065
sparta,43.9441,-90.8129,64.17,79,75,0.0,US,1689133957
kapa'a,22.0752,-159.319,79.99,77,20,13.8,US,1689134065
talnakh,69.4865,88.3972,40.21,69,100,16.51,RU,1689134065
valentin gomez farias,28.2167,-106.5833,77.63,41,35,10.92,MX,1689134066
bechar,31.6167,-2.2167,89.92,13,36,2.3,DZ,1689133974
rangpur,25.75,89.25,84.56,79,100,11.88,BD,1689134066
tulun,54.5611,100.5792,64.24,84,96,11.05,RU,1689134066
mazouna,36.1223,0.8987,87.66,44,10,1.39,DZ,1689134067
bereket,39.2446,55.5154,83.62,51,0,9.69,TM,1689134067
bonthe,7.5264,-12.505,75.67,90,100,4.27,SL,1689134067
pacific grove,36.6177,-121.9166,54.52,89,100,4.61,US,1689134067
skelleftea,64.7507,20.9528,57.56,94,7,2.3,SE,1689134050
dalian,38.9122,121.6022,78.73,78,100,4.47,CN,1689133996
kitami,43.8031,143.8908,80.06,89,100,4.18,JP,1689134068
ust-tsilma,65.441,52.1498,54.55,67,100,8.21,RU,1689134068
ribeira grande,38.5167,-28.7,71.78,97,100,18.01,PT,1689134068
hanzhong,33.0728,107.0303,89.35,69,65,0.94,CN,1689134068
weno,7.4515,151.8468,84.15,84,100,8.05,FM,1689134068
akbou,36.4575,4.5349,87.4,26,8,3.33,DZ,1689134068
oliva de la frontera,38.276,-6.9187,61.2,72,93,2.42,ES,1689134068
wailua homesteads,22.0669,-159.378,78.51,78,20,13.8,US,1689134069
hacilar,38.6463,35.4494,47.89,76,0,10.36,TR,1689134069
mucumpiz,8.4167,-71.1333,54.25,92,91,2.59,VE,1689134069
minbu,20.1833,94.8833,90.21,55,100,12.82,MM,1689134069
praia da vitoria,38.7333,-27.0667,71.85,94,75,21.61,PT,1689134069
strezhevoy,60.7333,77.5889,68.47,42,87,3.67,RU,1689134069
sur,22.5667,59.5289,90.88,52,17,8.32,OM,1689134070
kavaratti,10.5669,72.642,82.54,77,83,16.06,IN,1689134070
sabang,5.8933,95.3214,82.45,72,76,6.15,ID,1689134070
bathsheba,13.2167,-59.5167,79.41,89,75,10.36,BB,1689134071
lampazos de naranjo,27.0167,-100.5167,91.0,38,4,16.26,MX,1689134071
khandyga,62.6667,135.6,76.05,53,100,5.32,RU,1689134071
nadym,65.5333,72.5167,57.49,55,82,5.01,RU,1689134133
tamala,52.541,43.2515,54.09,87,21,10.22,RU,1689134133
yarkovo,57.4028,67.0786,84.11,53,50,6.93,RU,1689134133
ola,59.5833,151.2833,68.14,75,35,11.65,RU,1689134133
kuala kedah,6.1,100.3,87.78,66,20,4.61,MY,1689134133
nantucket,41.2835,-70.0995,69.22,85,0,9.22,US,1689134133
balakhta,55.38,91.6,63.46,91,96,4.52,RU,1689134133
dudinka,69.4058,86.1778,40.62,48,92,17.05,RU,1689134134
pangody,65.85,74.4859,57.11,53,0,9.91,RU,1689134134
lindsay,36.203,-119.0882,83.88,40,0,0.0,US,1689134134
pontevedra,42.431,-8.6444,65.77,91,100,1.52,ES,1689134134
freeport,40.6576,-73.5832,76.42,74,0,6.91,US,1689134134
san patricio,28.017,-97.5169,83.25,85,93,16.08,US,1689134134
fasa,28.9383,53.6482,74.44,25,0,0.0,IR,1689134134
corner brook,48.9667,-57.9484,66.36,84,62,9.06,CA,1689134134
lihue,21.9789,-159.3672,80.56,71,20,13.8,US,1689134135
tyre,33.2733,35.1939,79.93,67,0,8.19,LB,1689134135
san andres,12.5847,-81.7006,84.22,84,40,13.8,CO,1689134135
saudarkrokur,65.7461,-19.6394,41.67,89,28,7.18,IS,1689134135
kupino,54.3663,77.2981,89.74,39,31,5.99,RU,1689134135
panaba,21.2833,-88.2667,82.33,72,44,10.74,MX,1689134136
kharkhorin,47.1975,102.8238,61.32,77,100,5.37,MN,1689134136
klyavlino,54.2649,52.0267,58.69,96,99,14.99,RU,1689134136
daloa,6.8774,-6.4502,71.56,99,100,3.31,CI,1689134137
longyearbyen,78.2186,15.6401,46.24,87,75,4.61,SJ,1689134137
takab,36.4009,47.1133,70.5,28,0,2.37,IR,1689134137
berlin,52.5244,13.4105,71.64,60,0,8.99,DE,1689133773
qusmuryn,52.4503,64.6311,94.17,21,54,18.14,KZ,1689134138
la ronge,55.1001,-105.2842,66.45,55,75,3.44,CA,1689134138
paithan,19.4833,75.3833,77.4,73,100,12.88,IN,1689134138
fortuna,40.5982,-124.1573,58.14,91,100,5.75,US,1689134138
kingston,17.997,-76.7936,83.03,80,20,11.5,JM,1689134139
nogliki,51.8333,143.1667,60.58,75,33,8.19,RU,1689134139
road town,18.4167,-64.6167,84.29,84,100,24.65,VG,1689133852
rikaze,29.25,88.8833,65.34,46,99,2.86,CN,1689134139
balurghat,25.2167,88.7667,87.58,69,100,12.59,IN,1689134139
turpan,42.9333,89.1667,93.25,17,0,2.73,CN,1689134140
sacramento,38.4666,-121.3177,84.56,35,0,10.36,US,1689133750
mangrol,21.1167,70.1167,83.32,78,99,14.47,IN,1689134201
portland,45.5234,-122.6762,74.97,55,0,6.91,US,1689133695
kourou,5.1552,-52.6478,77.05,88,77,5.1,GF,1689134201
abbadia san salvatore,42.8821,11.6695,63.43,63,2,1.66,IT,1689134202
whitehorse,60.7161,-135.0538,63.37,51,100,11.5,CA,1689134058
sitka,57.0531,-135.33,55.29,67,0,5.75,US,1689134202
vodnyy,63.5046,53.4095,56.61,74,100,11.59,RU,1689134202
la passe,45.5549,-0.8967,66.02,89,100,7.45,FR,1689134202
happy valley-goose bay,53.3168,-60.3315,71.91,64,20,8.05,CA,1689134202
goynuk,40.4003,30.7883,65.88,68,0,2.84,TR,1689134202
fort frances,48.5999,-93.4003,56.61,78,0,3.44,CA,1689134202
labytnangi,66.6572,66.4183,58.05,49,78,5.23,RU,1689134202
chibougamau,49.9168,-74.3659,64.02,77,20,5.75,CA,1689134203
harar,9.3094,42.1258,60.44,81,30,3.4,ET,1689134203
tromso,69.6496,18.957,59.02,77,0,1.14,NO,1689134203
nar'yan-mar,67.6713,53.087,49.95,68,40,9.91,RU,1689134203
badger,64.8,-147.5333,69.08,58,40,11.5,US,1689134204
hasaki,35.7333,140.8333,92.03,66,7,14.41,JP,1689134204
fort mcmurray,56.7268,-111.381,69.31,52,0,2.3,CA,1689134176
idri,27.5,13.2667,75.52,33,0,9.46,LY,1689134204
cockburn town,21.4612,-71.1419,82.51,83,42,18.75,TC,1689134204
vorkuta,67.5,64.0,49.82,65,28,4.41,RU,1689134204
qaqortoq,60.7167,-46.0333,44.87,93,91,2.68,GL,1689134204
hamilton,39.1834,-84.5333,71.78,74,0,4.61,US,1689133974
puerto lempira,15.2667,-83.7667,79.38,90,92,9.89,HN,1689134205
pechora,65.1472,57.2244,58.82,55,100,11.9,RU,1689134205
udon thani,17.3333,102.8333,87.71,70,20,4.61,TH,1689134205
evansville,37.9748,-87.5558,72.59,76,0,6.69,US,1689134206
p'ot'i,42.1462,41.672,64.0,84,20,9.01,GE,1689134206
faya-largeau,17.9257,19.1043,86.36,19,98,14.12,TD,1689134206
isla mujeres,21.2311,-86.731,84.16,81,4,9.31,MX,1689134206
puerto san jose,13.9256,-90.8244,79.25,88,99,5.84,GT,1689134206
languyan,5.2618,120.0807,84.22,75,86,8.99,PH,1689134206
kargil,34.5667,76.1,60.08,34,52,3.49,IN,1689134206
yuzhno-kurilsk,44.0306,145.8556,63.63,89,100,5.1,RU,1689134207
kolonia town,6.964,158.206,87.8,74,75,5.75,FM,1689134207
remire-montjoly,4.9167,-52.2667,77.04,94,0,0.0,GF,1689134207
berdigestyakh,62.0989,126.6992,72.91,66,80,8.5,RU,1689134207
muscat,23.6139,58.5922,93.83,54,15,2.08,OM,1689134207
urzhar,47.093,81.6294,85.98,28,0,2.66,KZ,1689134269
saipan,15.1355,145.701,83.64,100,40,16.11,MP,1689134269
messini,37.0511,22.0078,71.44,56,0,2.3,GR,1689134269
kisangani,0.5167,25.2,69.46,97,95,2.51,CD,1689134269
shingu,33.7333,135.9833,86.11,69,96,11.92,JP,1689134269
bodo,67.28,14.405,66.4,62,0,25.32,NO,1689134269
kibre mengist,5.8833,38.9833,58.32,90,80,2.08,ET,1689134270
slave lake,55.2834,-114.769,69.78,73,0,5.75,CA,1689134059
robertsport,6.7533,-11.3686,76.96,86,100,7.56,LR,1689134270
hagere hiywet,8.9833,37.85,57.49,92,91,1.45,ET,1689134270
george town,5.4112,100.3354,87.75,70,20,6.91,MY,1689134270
sinabang,2.4803,96.3801,83.98,66,81,1.14,ID,1689134270
slavyanka,42.8633,131.3847,76.06,57,4,3.02,RU,1689134270
corinto,37.9407,22.9573,77.88,46,0,3.67,GR,1689134271
qamdo,31.1667,97.2333,56.3,54,100,1.72,CN,1689134271
tokonou,9.65,-9.7833,68.36,98,100,3.06,GN,1689134271
egilsstadir,65.2653,-14.3948,42.71,93,100,11.5,IS,1689134271
hofors,60.5457,16.2867,58.24,85,100,6.15,SE,1689134271
aleppo,36.25,37.5,77.2,23,0,8.16,SY,1689134272
merizo village,13.2658,144.6691,86.16,92,100,10.47,GU,1689134272
teguise,29.0605,-13.564,70.02,83,0,16.11,ES,1689134272
tofol,5.3248,163.0078,87.58,70,75,3.44,FM,1689134272
buka,40.8108,69.1986,96.19,11,0,5.32,UZ,1689134272
jumla,29.2747,82.1838,68.72,81,93,1.68,NP,1689134272
porto novo,6.4965,2.6036,78.62,92,100,5.03,BJ,1689134273
susuman,62.7833,148.1667,69.24,38,16,5.91,RU,1689134273
anadyr,64.75,177.4833,63.1,51,0,20.13,RU,1689134273
longquan,24.6719,102.1613,76.05,68,100,6.24,CN,1689134273
lincoln,40.8,-96.667,80.4,77,0,6.91,US,1689133925
tubarjal,30.4999,38.216,82.18,26,0,6.17,SA,1689134273
alaghsas,17.0187,8.0168,89.49,16,100,8.32,NE,1689134274
klaksvik,62.2266,-6.589,52.72,98,100,17.18,FO,1689134274
ke-macina,13.9623,-5.3572,85.86,53,13,8.52,ML,1689134274
grand falls-windsor,48.9332,-55.6649,65.5,84,39,9.01,CA,1689134274
salinas,36.6777,-121.6555,56.14,84,100,11.5,US,1689134161
dayton,39.7589,-84.1916,70.81,79,0,5.75,US,1689134078
xiaolingwei,32.0333,118.85,94.98,56,75,11.45,CN,1689134275
navojoa,27.1,-109.4333,91.02,58,78,3.0,MX,1689134275
okhotsk,59.3833,143.3,59.95,71,20,11.74,RU,1689134275
fort bragg,35.139,-79.006,75.2,85,0,0.0,US,1689134275
piney green,34.716,-77.3202,77.23,91,0,5.75,US,1689134275
petropavlovsk-kamchatsky,53.0452,158.6483,66.79,45,75,6.71,RU,1689134275
preobrazheniye,42.9019,133.9064,68.56,78,91,4.81,RU,1689134275
yei,4.095,30.6779,65.12,94,97,2.19,SS,1689134337
brisas de zicatela,15.8369,-97.0419,82.11,83,98,5.3,MX,1689134337
al mindak,20.1588,41.2834,74.8,16,87,7.11,SA,1689134337
banikoara,11.2985,2.4386,76.3,83,99,4.92,BJ,1689134338
kamaishi,39.2667,141.8833,74.82,86,99,19.75,JP,1689134338
shiraoi,42.55,141.35,71.87,99,100,5.59,JP,1689134338
vernon,50.2581,-119.2691,78.42,53,58,2.3,CA,1689134338
tela,15.7833,-87.45,81.25,91,95,11.97,HN,1689134339
ladnun,27.65,74.3833,92.71,52,99,11.74,IN,1689134339
waddan,29.1614,16.139,70.75,55,0,3.44,LY,1689134339
hilton head island,32.2163,-80.7526,79.88,84,0,5.75,US,1689134339
egersund,58.4513,5.9997,58.93,95,72,7.38,NO,1689134339
dieppe,49.75,1.1667,57.22,93,37,1.01,FR,1689134339
nuuk,64.1835,-51.7216,45.23,98,96,5.39,GL,1689134340
los yebenes,39.5816,-3.8706,71.1,27,1,5.26,ES,1689134340
sogne,58.0833,7.8167,59.61,98,93,5.01,NO,1689134340
tulle,45.3333,1.8333,59.99,99,99,1.36,FR,1689134341
okha,53.5739,142.9478,58.71,69,14,10.78,RU,1689134341
kayangel,8.0823,134.7173,81.14,83,100,19.71,PW,1689134341
ad dilam,23.9915,47.1627,90.01,14,5,2.8,SA,1689134341
al ghayzah,16.2079,52.176,81.46,84,98,6.44,YE,1689134342
turan,16.0678,108.2208,94.98,52,20,4.61,VN,1689134342
katsuura,35.1333,140.3,83.3,76,4,24.36,JP,1689134342
meybod,32.2501,54.0166,91.42,7,0,2.84,IR,1689134343
inari,68.906,27.0288,66.4,55,66,8.03,FI,1689134343
kristiansund,63.1115,7.732,63.25,63,75,6.91,NO,1689134343
siwan,26.2167,84.3667,94.8,51,78,4.12,IN,1689134343
mandalgovi,45.7625,106.2708,68.32,54,100,9.91,MN,1689134344
vrangel',42.7297,133.0839,73.76,63,72,7.92,RU,1689134344
fort st. john,56.2499,-120.8529,71.49,53,75,16.11,CA,1689134344
kashgar,39.4547,75.9797,78.01,38,0,6.71,CN,1689134344
gudari,19.35,83.7833,86.65,66,100,3.67,IN,1689134345
vila franca do campo,37.7167,-25.4333,70.21,93,86,12.53,PT,1689134345
jean-rabel,19.8533,-73.1917,81.37,83,11,13.94,HT,1689134345
eldorado at santa fe,35.5264,-105.9347,80.49,32,0,18.41,US,1689134345
tazovsky,67.4667,78.7,46.72,64,57,14.97,RU,1689134345
akureyri,65.6835,-18.0878,42.73,93,100,10.36,IS,1689134345
nagqu,31.5,92.0,58.26,57,81,9.01,CN,1689134409
basco,20.4487,121.9702,84.99,77,63,12.59,PH,1689134410
manado,1.487,124.8455,92.17,58,40,9.22,ID,1689134410
ulaangom,49.9811,92.0667,64.0,59,100,3.24,MN,1689134414
hadibu,12.65,54.0333,78.89,76,93,24.09,YE,1689134416
vadso,70.0744,29.7487,67.08,62,65,7.63,NO,1689134417
susanville,40.4163,-120.653,78.64,19,0,6.91,US,1689134417
atlantic beach,30.3344,-81.3987,77.83,87,26,1.01,US,1689134419
copala,16.65,-98.9833,77.18,94,100,4.85,MX,1689134419
wanlaweyn,2.6185,44.8938,74.98,80,100,15.39,SO,1689134419
altay,47.8667,88.1167,76.46,34,5,4.7,CN,1689134383
pomichna,48.2422,31.4158,60.87,68,49,7.72,UA,1689134421
usinsk,65.9939,57.5281,53.31,62,100,16.8,RU,1689134423
crumlin,54.6243,-6.2156,55.45,94,40,10.36,GB,1689134424
ciudad constitucion,25.0369,-111.6644,80.15,72,3,10.54,MX,1689134428
north bend,43.4065,-124.2243,59.38,94,75,10.36,US,1689134430
shalqar,47.8333,59.6,88.45,31,100,3.42,KZ,1689134431
kollam,8.8833,76.6,80.11,81,93,9.44,IN,1689134423
st. thomas,42.7736,-81.1804,65.64,94,78,6.96,CA,1689134432
kidal,18.4411,1.4078,87.62,13,65,7.85,ML,1689134435
klimavichy,53.6135,31.9385,54.45,73,100,4.83,BY,1689134436
tumaco,1.7986,-78.8156,81.25,79,26,4.27,CO,1689134439
charlotte amalie,18.3419,-64.9307,81.66,84,92,23.2,VI,1689134440
westport,41.1415,-73.3579,73.2,84,4,1.99,US,1689134440
el nido,11.1858,119.3956,83.7,77,100,10.04,PH,1689134443
sodo,6.8642,37.7628,58.01,89,97,2.98,ET,1689134443
thunder bay,48.4001,-89.3168,53.51,87,40,3.44,CA,1689134335
shimoda,34.6667,138.95,91.11,84,23,15.08,JP,1689134445
the pas,53.8251,-101.2541,64.42,55,0,2.3,CA,1689134445
korla,41.7597,86.1469,76.1,47,0,4.12,CN,1689134445
dul'durga,50.6761,113.5931,69.35,81,98,3.8,RU,1689134446
namsos,64.4662,11.4957,62.51,82,75,12.66,NO,1689134446
ha'il,27.5219,41.6907,82.42,24,0,2.3,SA,1689134446
betio village,1.358,172.9211,86.04,83,100,19.95,KI,1689134446
acapulco de juarez,16.8634,-99.8901,78.93,94,100,5.1,MX,1689134429
argo,37.6333,22.7333,73.78,43,0,4.09,GR,1689134446
tazacorte,28.629,-17.9293,72.57,83,0,17.27,ES,1689134446
warwick,41.7001,-71.4162,71.82,80,0,4.61,US,1689134175
hirado,33.3597,129.5531,79.32,89,94,17.4,JP,1689134447
southold,41.0648,-72.4262,74.26,77,1,4.0,US,1689134447
vilyuchinsk,52.9306,158.4028,68.25,54,0,11.97,RU,1689134447
marsh harbour,26.5412,-77.0636,84.36,76,99,5.55,BS,1689134405
galveston,29.3669,-94.9669,83.73,88,0,14.97,US,1689134448
khorugh,37.4897,71.553,74.53,24,0,2.68,TJ,1689134509
trancoso,22.7333,-102.3667,69.96,55,54,5.55,MX,1689134509
port blair,11.6667,92.75,86.04,74,40,13.8,IN,1689134445
taroa,8.7058,171.2275,83.16,77,15,12.46,MH,1689134510
buzdyak,54.5833,54.55,66.43,75,84,18.03,RU,1689134510
lompoc,34.6391,-120.4579,59.58,91,4,3.8,US,1689134450
novodvinsk,64.4165,40.8122,54.75,63,100,7.72,RU,1689134510
nyurba,63.2842,118.3319,61.0,80,100,8.5,RU,1689134511
selkirk,50.1436,-96.8845,56.82,78,91,4.56,CA,1689134500
guadalupe y calvo,26.1,-106.9667,58.42,92,75,2.95,MX,1689134511
san lawrenz,36.0553,14.204,76.86,85,0,2.06,MT,1689134511
coron,11.9986,120.2043,86.88,71,98,8.08,PH,1689134511
moyynkum,44.2914,72.9469,90.55,21,0,23.0,KZ,1689134511
yafran,32.0633,12.5286,70.2,43,0,4.88,LY,1689134511
hutchinson,38.0608,-97.9298,81.0,71,0,6.91,US,1689134250
san pedro pochutla,15.7333,-96.4667,79.72,89,94,4.18,MX,1689134512
margate,51.3813,1.3862,57.33,92,37,4.0,GB,1689134512
carboneras,37.0015,-1.9213,79.3,56,13,5.17,ES,1689134512
melfi,40.9965,15.6514,66.49,66,0,7.18,IT,1689134512
al jawf,29.5,38.75,82.09,21,0,4.92,SA,1689134513
banda aceh,5.5577,95.3222,84.83,65,75,3.53,ID,1689134513
jasrasar,28.298,74.8093,93.16,48,87,4.03,IN,1689134513
saulkrasti,57.2622,24.4147,56.8,75,1,4.83,LV,1689134513
panuco,22.05,-98.1667,84.38,83,1,7.96,MX,1689134513
mehtar lam,34.6714,70.2094,91.96,26,0,2.44,AF,1689134514
constantia,44.1833,28.65,63.28,83,0,12.3,RO,1689134514
luba,3.4568,8.5547,75.09,88,100,10.09,GQ,1689134514
hotan,37.0997,79.9269,83.79,23,23,7.99,CN,1689134515
trondheim,63.4305,10.3951,62.6,76,97,3.0,NO,1689134515
sosnovo-ozerskoye,52.5249,111.5418,76.15,49,0,6.02,RU,1689134515
al kharijah,25.4514,30.5464,80.8,32,0,6.44,EG,1689134515
takoradi,4.8845,-1.7554,75.09,89,75,5.97,GH,1689134516
taoudenni,22.6783,-3.9836,96.46,10,0,7.52,ML,1689134516
selfoss,63.9331,-20.9971,47.43,73,11,6.17,IS,1689134516
mermoz boabab,14.7065,-17.4758,82.18,83,40,4.61,SN,1689134516
juneau,58.3019,-134.4197,54.1,100,99,1.1,US,1689134516
smithers,54.7804,-127.1743,75.52,17,75,17.27,CA,1689134430
el granada,37.5027,-122.4694,56.7,89,100,16.11,US,1689134577
howrah,22.5892,88.3103,87.8,79,75,12.66,IN,1689134578
manjeshvar,12.7,74.8833,78.19,78,98,6.44,IN,1689134578
revda,56.801,59.9303,80.6,42,100,11.59,RU,1689134578
ugoofaaru,5.6667,73.0,82.24,78,95,9.48,MV,1689134578
khilok,51.3674,110.4676,78.51,45,35,8.93,RU,1689134579
kletnya,53.3897,33.2171,53.62,69,100,4.41,RU,1689134579
midvagur,62.0511,-7.1939,52.63,93,100,23.02,FO,1689134579
starobaltachevo,56.0013,55.9213,74.66,70,98,18.77,RU,1689134579
ringkobing,56.0901,8.244,60.03,95,100,7.31,DK,1689134579
baoqing,46.3317,132.2111,77.76,51,97,14.38,CN,1689134580
yamada,39.4667,141.95,76.24,86,100,15.23,JP,1689134580
inzhavino,52.3185,42.4937,54.82,86,49,9.51,RU,1689134580
iwanai,42.9744,140.5089,70.34,97,100,0.65,JP,1689134580
tchaourou,8.8865,2.5975,71.83,96,100,6.76,BJ,1689134580
kargat,55.1956,80.2811,88.05,44,73,6.87,RU,1689134580
broome,42.2506,-75.833,68.36,76,63,1.01,US,1689134459
wajir,1.7471,40.0573,75.16,73,20,6.91,KE,1689134581
pil'na,55.5539,45.9219,50.61,88,100,11.59,RU,1689134581
val-d'or,48.1002,-77.7828,62.69,63,0,4.61,CA,1689134455
lata,40.1629,-8.3327,65.07,98,100,2.48,PT,1689134581
chuzhou,32.3219,118.2978,94.06,58,92,14.07,CN,1689134581
nueva gerona,21.8833,-82.8,85.89,70,3,10.74,CU,1689134581
zhumysker,49.3333,49.4,68.41,53,100,12.24,KZ,1689134582
iskandar,41.5539,69.7008,90.45,10,0,4.7,UZ,1689134582
holualoa,19.6228,-155.9522,71.83,93,71,1.99,US,1689134449
manistee,44.2445,-86.3242,53.85,84,0,0.0,US,1689134582
jinka,5.65,36.65,62.47,81,94,3.18,ET,1689134583
mejit,10.2753,170.8646,83.07,77,12,12.06,MH,1689134583
mukalla,14.5425,49.1242,85.44,78,20,4.52,YE,1689134583
